id,edo,mes,anio,mpio,hora,minutos,dia,diasemana,urbana,suburbana,tipaccid,automovil,campasaj,microbus,pascamion,omnibus,tranvia,camioneta,camion,tractor,ferrocarri,motociclet,bicicleta,otrovehic,causaacci,caparod,sexo,aliento,cinturon,edad,condmuerto,condherido,pasamuerto,pasaherido,peatmuerto,peatherido,ciclmuerto,ciclherido,otromuerto,otroherido,totmuertos,totheridos,clase,calle1,calle2,carretera,longitud,latitud,fechahora,severidad,hay_muertos,hay_heridos,solo_daños_materiales,severidad_cat,franja_horaria,geometry,edge_u,edge_v,edge_key,distancia_edge
4186,9,2,2019,2,8,0,8,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,7,49,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE OYAMELES,CALLE TEJOCOTE,NAN,-99.19551,19.49313,2019-02-08 08:00:00,0,False,False,True,leve,Mañana,POINT (-99.19551 19.49313),385642004,385642000,0,0.13120826361004467
4187,9,2,2019,2,12,0,9,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,42,0,0,0,0,0,0,0,0,0,0,0,0,3,EJE VIAL 3 NORTE (CUITLÁHUAC),CALLE A,NAN,-99.15899,19.47364,2019-02-09 12:00:00,0,False,False,True,leve,Tarde,POINT (-99.15899 19.47364),1865208072,47073070,0,1.1830502995013283
4188,9,2,2019,2,8,45,10,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,40,0,0,0,0,0,0,0,0,0,0,0,0,3,EJE VIAL 3 NORTE (CALZADA SAN ISIDRO),AVENIDA TEZOZÓMOC,NAN,-99.19766,19.48229,2019-02-10 08:45:00,0,False,False,True,leve,Mañana,POINT (-99.19766 19.48229),372452994,372453005,0,2.8600691563480503
4189,9,2,2019,2,13,0,10,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,29,0,0,0,0,0,0,0,0,0,0,0,0,3,EJE VIAL 1 PONIENTE (CALZADA VALLEJO),EJE VIAL 4 NORTE (PONIENTE 128),NAN,-99.15184,19.48889,2019-02-10 13:00:00,0,False,False,True,leve,Tarde,POINT (-99.15184 19.48889),60916381,1404054457,0,1.144499659703906
4190,9,2,2019,2,20,5,10,7,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,5,7,41,0,0,0,0,0,0,0,0,0,0,0,0,3,EJE VIAL 3 NORTE (CUITLÁHUAC),AVENIDA AVENIDA DE LAS GRANJAS,NAN,-99.17616,19.46819,2019-02-10 20:05:00,0,False,False,True,leve,Noche,POINT (-99.17616 19.46819),7982345896,7982345894,0,4.3451499628991455
4191,9,2,2019,2,21,45,11,1,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,7,24,0,0,0,0,0,0,0,0,0,0,0,0,3,EJE VIAL 4 NORTE (CALZADA AZCAPOTZALCO-LA VILLA),CALLE TLATENCO,NAN,-99.17557,19.49034,2019-02-11 21:45:00,0,False,False,True,leve,Noche,POINT (-99.17557 19.49034),387152433,1932895866,0,0.7301374178741915
4192,9,2,2019,2,10,0,14,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,7,45,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA AQUILES SERDÁN,CALLE OTOÑO,NAN,-99.18972,19.46782,2019-02-14 10:00:00,0,False,False,True,leve,Mañana,POINT (-99.18972 19.46782),271595218,1417791926,0,4.246188816922633
4193,9,2,2019,2,7,50,15,5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,33,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE CAMPO SAN MARCOS,CALLE SANTOS DEGOLLADO,NAN,-99.18421,19.48856,2019-02-15 07:50:00,0,False,False,True,leve,Mañana,POINT (-99.18421 19.48856),1932474070,1932474081,0,1.305913769366278
4194,9,2,2019,2,23,47,15,5,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,40,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE SALÓNICA,CALLE NORTE 79-B,NAN,-99.17649,19.47099,2019-02-15 23:47:00,0,False,False,True,leve,Noche,POINT (-99.17649 19.47099),1403764301,1865189498,0,11.948424137209274
4195,9,2,2019,2,22,20,17,7,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,25,0,0,0,0,0,0,0,0,0,0,0,0,3,EJE VIAL 4 NORTE (CALZADA AZCAPOTZALCO-LA VILLA),AVENIDA CEYLÁN,NAN,-99.16884,19.49086,2019-02-17 22:20:00,0,False,False,True,leve,Noche,POINT (-99.16884 19.49086),8112336252,8103223595,0,0.754216162763647
