edge_u,edge_v,edge_key,accidentes_totales,severidad_total,muertos_totales,heridos_totales,accidentes_graves,distancia_prom_edge
30789529,30789510,0,1,3,0,1,0,0.9952842554240818
30789531,30789533,0,1,0,0,0,0,3.746945802930408
30789533,898543810,0,1,0,0,0,0,3.678035073245494
30789537,30789521,0,2,3,0,1,0,1.6466780954828508
30789537,854429427,0,1,0,0,0,0,1.0217787156872127
30789541,275358042,0,1,10,1,0,1,2.830096727095192
30789557,874499049,0,1,0,0,0,0,0.9373433494235854
30789612,30789613,0,3,3,0,1,0,4.31327182575597
30789627,30789610,0,1,0,0,0,0,1.6434210556954096
30789627,30789626,0,1,0,0,0,0,0.5983457311553634
30825096,30825097,0,1,0,0,0,0,3.345505561636389
30825096,274851378,0,2,6,0,2,0,1.860756066670139
30825097,30825098,0,1,0,0,0,0,4.261353075089515
30825099,30825731,0,1,0,0,0,0,6.5756653094871735
30825121,30825350,0,1,0,0,0,0,6.234056487723392
30825206,30825121,0,1,0,0,0,0,5.654744944371399
30825349,30825099,0,1,0,0,0,0,5.281504473824
30825350,30384338,0,3,3,0,1,0,3.14888885875118
30825351,1420541264,0,3,3,0,1,0,5.146129794876454
30825470,31241261,0,1,0,0,0,0,1.7171905137264047
30825519,30825470,0,1,0,0,0,0,3.3960476511223625
30825519,274850530,0,1,0,0,0,0,4.629817080639993
30826064,31241298,0,1,3,0,1,0,0.9457376540631207
30826070,30381374,0,1,0,0,0,0,0.7497332172864763
30878440,30878441,0,3,0,0,0,0,3.2812814210461063
30878441,30878442,0,5,3,0,1,0,2.0333536185415704
30878442,8342795027,0,2,3,0,1,0,1.7189660696079851
30878444,10234592392,0,13,24,0,8,0,4.89621550526968
30878884,30879633,0,4,3,0,1,0,3.748244850654501
30878884,2461257707,0,1,0,0,0,0,5.574177213884819
30879388,30384409,0,2,3,0,1,0,5.025458857302272
30879390,30384393,0,2,3,0,1,0,5.6417256169227405
30879492,30879493,0,5,9,0,3,0,0.17549176952936524
30879493,31241146,0,2,0,0,0,0,1.9648688868103599
30879495,2311012144,0,3,3,0,1,0,2.279777064426609
30879498,268375994,0,2,16,1,2,1,3.0729543083349453
30879498,268375997,0,1,0,0,0,0,3.2084898286361905
30879520,841724136,0,1,0,0,0,0,3.673350456358445
30879521,268265014,0,1,10,1,0,1,1.4232877835127602
30879522,841724146,0,1,3,0,1,0,1.445192014093726
30879523,268265012,0,3,0,0,0,0,0.8250476063073595
30879526,268265010,0,4,6,0,2,0,3.6917444822340837
30879540,268327866,0,4,0,0,0,0,3.176229377573156
30879540,767144196,0,3,3,0,1,0,1.2662554889147375
30879631,2311012076,0,1,0,0,0,0,2.0977709131468556
30879632,2461257707,0,2,3,0,1,0,2.368736704484945
30879633,30594066,0,2,12,0,4,0,3.454092590611227
30879635,30879636,0,2,0,0,0,0,4.249697796981086
30879636,30879637,0,1,0,0,0,0,5.894214607359316
30879636,268378315,0,1,3,0,1,0,2.743000367682527
30879637,767144194,0,3,3,0,1,0,5.401509781888374
30879637,767144210,0,1,0,0,0,0,5.110345289970771
30879640,268378635,0,1,0,0,0,0,3.7380625360629907
30879643,268384993,0,13,36,0,12,0,1.1658976479430188
30879848,275409851,0,2,3,0,1,0,0.6027719007177522
30879849,6135446069,0,1,0,0,0,0,3.927017673368658
30879853,30879854,0,2,10,1,0,1,3.381483477624703
30879854,268385937,0,1,3,0,1,0,3.4046979082262037
30879876,30340897,0,2,3,0,1,0,4.130906775906561
30879879,30879880,0,6,29,2,3,1,3.8234940493942116
30879897,30879898,0,1,0,0,0,0,5.883677114505461
30879898,12125772181,0,1,0,0,0,0,6.5451599422041316
30879908,8610901276,0,1,0,0,0,0,1.8653618754348746
30879957,271794989,0,1,0,0,0,0,2.5116637908194486
30879979,30879980,0,3,0,0,0,0,2.0298702302396
30879981,30880010,0,2,3,0,1,0,5.098483988138615
30879982,30879990,0,3,3,0,1,0,4.959304384931055
30879990,275441386,0,1,0,0,0,0,8.620123742559354
30879990,275511706,0,6,25,1,5,1,3.217071670638548
30879991,30879992,0,2,3,0,1,0,1.3311655166195713
30879993,30879994,0,3,6,0,2,0,2.20438544192059
30879995,30384070,0,1,0,0,0,0,1.3242098105108993
30879997,3042328518,0,1,0,0,0,0,1.0745230420606493
30880010,30879982,0,3,6,0,2,0,4.591019496369788
30880012,30880013,0,1,0,0,0,0,7.058882843128655
30880029,6143235649,0,1,0,0,0,0,2.095582873834292
30880031,30880032,0,1,6,0,2,0,0.49695748518056865
30880032,30880144,0,2,3,0,1,0,1.2442957227451745
30880038,30880040,0,1,0,0,0,0,1.7388044924005754
30880054,276312416,0,1,0,0,0,0,0.86216537227305
30880055,30880056,0,1,0,0,0,0,1.3238234581412884
30880056,5133752904,0,1,0,0,0,0,1.1658089669013525
30880082,31164465,0,1,0,0,0,0,0.7691272528225205
30880082,275514652,0,1,0,0,0,0,14.78653653167975
30880091,31164455,0,2,0,0,0,0,1.097351660053165
30880093,30880094,0,1,0,0,0,0,4.447934566355813
30880093,30880102,0,1,0,0,0,0,3.014438738215528
30880102,31163302,0,5,0,0,0,0,1.5727838807668584
30880105,275513780,0,2,0,0,0,0,1.0374194651732018
30880111,31163291,0,3,0,0,0,0,1.1611593997549488
30880142,434304907,0,3,6,0,2,0,1.6807022227825765
30956872,269988896,0,1,0,0,0,0,2.4838602186723016
30956872,269989266,0,1,3,0,1,0,1.615105842687876
30956873,30956999,0,1,0,0,0,0,2.1686547014743094
30956873,268615860,0,1,3,0,1,0,1.0793634678590966
30956901,269989630,0,1,3,0,1,0,2.7215394537607738
30956904,268639104,0,1,3,0,1,0,3.2387931987195473
30956999,30341021,0,9,9,0,3,0,2.0825546846150034
30956999,30956873,0,7,46,1,12,1,2.4409076082075214
31062133,30384388,0,2,3,0,1,0,3.439148008484699
31062169,31062252,0,1,0,0,0,0,3.5993598236130695
31062267,31062270,0,1,0,0,0,0,5.087996323262142
31062295,30340971,0,1,0,0,0,0,0.5551904720172129
31161615,31161616,0,1,0,0,0,0,2.7764452670471016
31161616,275512150,0,2,0,0,0,0,0.37160117830858796
31161628,31161614,0,3,0,0,0,0,3.414722745987236
31161692,30789230,0,1,0,0,0,0,1.018569795566975
31162347,31162346,0,1,0,0,0,0,0.6254505576256184
31162757,31162347,0,1,3,0,1,0,0.9434044201019305
31163297,30384069,0,3,6,0,2,0,2.2652020704158593
31163297,31163298,0,1,3,0,1,0,2.385220211052
31163303,30384273,0,1,0,0,0,0,6.00687824767674
31163586,436884035,0,1,3,0,1,0,6.676407103570746
31164457,274841449,0,1,0,0,0,0,2.9554019935922864
31164466,275514840,0,1,0,0,0,0,8.247578186906802
31164469,11869787770,0,6,9,0,3,0,2.8829934389242626
31180208,31180210,0,6,0,0,0,0,3.270657088086958
31180210,30340084,0,2,6,0,2,0,1.3850537111593066
31180445,275439194,0,1,0,0,0,0,2.1036237639819215
31180448,30385579,0,11,54,3,8,3,4.258781464174774
31180761,30341113,0,1,3,0,1,0,1.9998117437247158
31183331,275406076,0,1,0,0,0,0,0.3874355413326008
31183334,275408584,0,3,0,0,0,0,7.1754276380910085
31183335,275362704,0,2,3,0,1,0,6.862627533282824
31183480,275423854,0,1,3,0,1,0,0.13270610111887166
31183482,31183483,0,1,0,0,0,0,0.6652120429485684
31183482,275420197,0,2,3,0,1,0,9.991681800831564
31183484,275415144,0,1,0,0,0,0,0.33205876393748174
31183485,275415144,0,1,6,0,2,0,1.254530748098898
31241143,268466324,0,1,3,0,1,0,1.3121193411165903
31241146,268460565,0,4,0,0,0,0,2.1515916686096754
31241147,274851064,0,1,0,0,0,0,0.23475592849142382
31241172,2311012150,0,3,3,0,1,0,0.36170120751668783
31241201,31241202,0,1,0,0,0,0,0.8182301238771207
31241219,31241220,0,1,3,0,1,0,4.068562964330216
